ID,Tweets,Labels
85,Mimi nachangia lakini sio lazima inategemea na hali yangu ya uchumi mda huoHili la kugeuza kama deni hapanasi wenyewe tunapambana na uroda kwa hela zetu,0
86,Je wajua Kuwa Twiga ndie Mnyama anaelala kwa mda mfupi kuliko wanyama wengine Twiga analala ndani ya masaa 4 na dk 30 katika masaa 24 Na analala haliyakuwa amesimama huku macho yake yakiwa wazi,0
87,   FamiliaNduguMarafiki wana hofu kubwa juu ya WatotoNdg zao walioko CHINAKulinda maisha ya watu na uhai ni kipaumbele,-1
90,   Ukikuta familia zote mbili mzigo upo wala mambo sio mengi njoo sasa uswahilini uone kuna mtu atasimama anakwambia mjo,0
91,   Zoezi la kutambulishana likiwa linaendelea,0
93,   Wahudhuriaji wa tamasha la wakimsikiliza Fid Q akitoa ujumbe kuhusu mazingira ht,0
94,   Tulikuwa kama 23 lakini mpaka leo hii tumebakia watu wawili tu Elimu yangu ilinikomboa pale nilipoweza kuandika Propo,1
95,Great memories Hadija Jabiry,1
96,Waziri mkuu wa Uingereza Theresa May anakusudia kuliomba bunge la nchi yake limpe muda zaidi ili aweze kufanya mazungumzo na Umoja wa Ulaya juu ya kuubadilisha mkataba wa Brexit uliopo sasa Soma zaidi gtgt,0
97,   Mgombea Urais CCMDkt John Magufuli akihutubia umati wa wananchi wa Iringa na vitongoji vyake kwenye mkutano Jana ,1
98,   816 Hatimaye tukafika katika mapango ya popo panaitwa Mwambisi ndani ya Msitu wa Pugu ulio chini ya hapa tulip,1
100,   Bwana haya mabegi ni matamu MDM unaletewa popote ulipo,0
103,   Hatimaye machapisho yangu ya kielektroniki sasa yataweza kupatikana kwa mobile money mpesa Airtel money TigoPesa katika ,1
105,   Uzuri wa kutumia mkijikusanya kwa pamoja ni kwamba kila mtu anafatwa pale alipokuepo haachwi mtu tw,0
106,Kisha chuja kutoka tarehe uliyoweka bet yako hadi siku ya leo kisha bofya kwenye mkeka wako ili kupata taarifa kamili za michezo uliyobashiri EN,0
107,   Ukimaliza kusema vibaya juu yangu usisahau kuniombea dua niwe mtimilifu kama wewe,0
108,   Napenda kuishukuru Serikali ya Jamhuri ya Muungano wa kwa kuendelea kupokea na kuwahudumia kutok,1
109,   KUMBUKIZI YA LEO kUtoka Kwa JIMBO LA MIKUMI JOSEPH HAULE CHADEMA Kura 32259 Jonas NKYA CCM Ku,1
110,Pia watoto wanatakiwa wasome shule za karibu kuepusha haya yotemtoto anasoma bunge anakaa gomz,0
111,   Leo saa sita ndio mwisho tunafunga kuchukua Orders za Eid kesho tuanze maandalizi Inshaallah 0655 258 737 Mikochen,0
114,Tulitolea taarifa kuna matengenezo katika mtambo wetu wa kufua umeme kwa gesi asilia cha Ubungo Tunatarajia yatakamilika Februari 13,1
115,   Suala la miundombinu katika maeneo ya uchimbaji mdogo nchini iliyoulizwa kwenye imejibiwa kisiasa zai,-1
116,Vitambulisho vya zamani bado vinatumika sambamba na hivi vipya wakati tukiandaa utaratibu wa kuvibadilisha na kuwapatia vyenye saini punde utaratibu utakapokamilika tutawafahamisha namna ya kuvirudisha ili kuwapatia hivi vipya ila kwa sasa ba,0
117,bila malipo ya ziada ili uweze kutazama mechi hii,0
119,   Si ile wiki ya mshahara imeanza sasa wale walioniahid mwisho wa mwezi sasa mnunulie mtoto wako tablet kutoka kwetu Bei,0
120,   Kuna account ya Bonus wanayo kiukweli sio promo naipenda sana maana fedha yako haina makatoni account nzuri kwa,1
121,Anakujibu yuko safe na hayupo safe ili umwage ndani apate mimba hapo unamlaumu mwanaume,0
122,   Mkutano wa 18 Bunge la 11 Kikao cha Tatu unaendelea leo Januari 30 2020 Jijini Dodoma kikiongozwa na Spika wa B,1
124,   Kwa Mambo Kama Haya Unaweza Wacheki Magwiji Wa Hizi Kazi Hautajuta Wataifanya Gari Yako Hile Unataka Usisah,0
125,   Kama upo sogea eneo walipo wajasiriamali wa upate bidhaa na huduma bora kutoka kwa vija,0
126,ninashukuru Mungu wangu kwamba nimeishi haya maisha na naomba Allah anijaalie mwisho mwema na niache nyuma yangu kumbukumbu nzuri na furaha ambayo nitaondoka nayo Amiiiin  HII NI HISTORIA FUPI YA MAISHA YANGU,1
130,   Mabati imara yanayodumu kwa muda mrefu bila kupata kutuyametengenezwa kwa aluzinc Tuna G 28 Na G 30 Gauge 32 utaipata,0
132,   HabariNiTaaluma Muswada wa Huduma za Habari unalenga kuigeuza sekta ya habari kuwa taaluma kamili na itakayoheshimika z,1
133,hakuna tatizo kwa anaesajili hata kama laini umefungiwa tafadhali fika kwenye ofisi zetu kwa msaada zaidi,0
134,Derby County Vs Stoke City Timu gani itashinda leo Kona ngapi zitapigwa Nani atakula kadi ya njano Shinda zaidi kwa kubashiri masoko hadi 6 kwenye mechi 1kupitia JENGA BET Cheza,0
135,   Namshukuru Mungu Mh rais ameniteua kwenye Wilaya yenye Wananchi na Viongozi wachapa kazi tumeweka msima,1
136,Paul tutawajulisha juu ya zawadi kwa maswali ya jayoEndelea kufuatilia ukurasa wetu hm,1
137,Leo Februari 26 2018 kesi inayomkabili muigizaji imeendelea ambapo Ofisa wa Polisi,0
138,Tafadhali tunaomba utuandikie namba yako ya simu kwa msaada zaidiGift,1
139,Nimekutana na muhindi wa kuchoma nikatamani ila hawauzi kipande imebidi ninunue mzima kipande nimuachie maana sina pakukipeleka,0
140,   Siku moja utajishukuru kwa kutokukata tamaa,0
142,9wale ambao wamekosa namba kazi yao ni kufata mpira ukitoka 10yule mtaalam wa soka huwa hakoc namba ata cku moja Ukiikumbuka lazima utabasam,0
143,Sheria inawatambua zaidi smallscale miners ambao ni wengi kuliko artisanal miners hili tunajaribu kulipigia chapuo serikali iliangalie kwa kushirikiana na wadau Dr Josephat  Mtafiti,0
144,   Usawa wa kijinsia bado ni changamoto kubwa duniani ni jukumu la kila mtu kuhakikisha kwamba wanawake wanatumia fursa zilizop,1
145,Njia za hovyo zilitumika kumlinda MboweMheSumaye,0
146,   Msanii wa Muziki wa Bongofleva nchini Nasibu Abdul Juma maarufu kama aipongeza Serikali ya awamu ya 5 in,1
147,   Watu wengi wangependa kuelewa kwa upana zaidi kuhusiana na suala la kushikana mkono handshakes kwani kila mazingira,1
148,Nzuri Tunashukuru kwa maoni yako Tutayafikisha katika ngazi husika kwa majadiliano zaidi IR,1
149,Achana na b mkbwa c unampiga sound mshua sshv ww ni kijana wa aina gani unalala mpk ss hv,0
150,   Matukio mbali mbali ya baadhi ya wateja na wafanya kazi wa Equity bankT waliohudhuria hafla ya kuadhimisha wiki ya hudu,0
151,Msemaji wa Serikali Dk Abbasi atunukiwa Cheti cha Uprofesa nchini China Mkurugenzi wa Idara ya HabariMAELEZO na Msemaji Mkuu wa Serikali Dk Hassan Abbasi ametunukiwa cheti cha,1
152,   Mratibu wa Mr Ochola Wayoga leo amefungua warsha ya siku mbili mjini Dodoma warsha hio imewahusisha wenye viti mbal,1
154,   CHANGIA FAINI YA VIONGOZI WA CHADEMA MPESA KWENDA CRDB 1 BONYEZA 15000 2 TUMA PESA 3 KWEND,0
157,   Marko 834 Yesu akasema Mtu ye yote akitaka kunifuata ni lazima ajikane mwenyewe auchukue msalaba wake anifuate AJ,1
158,Jeshi la Polisi laadhimisha Siku 16 ya kupinga ukatili wa kijinsia na watoto katika Wilaya ya Mkuranga mkoa wa Kipolisi Rufiji PichaTanpol,1
159,   Umoja wetu ndio silaha yetu Tanzania tunaweza  changia viongozi wa,0
161,   Huo ndio mwelekeo wa Serikali kwa sasa Na utekelezaji wa azma hiyo unaanza na mradi wa SEQUIP utakaozinduliwa muda mfupi uja,1
162,Klabu ya imemfukuza kocha wake sababu ikiwa ni kutokana na muendelezo wa matokeo mabovu ya klabu hiyo,-1
164,   Mambo 10 muhimu ya kuzingatia kwa vijana wanaotafuta kazi au ajira 1 Soma alama za nyakati 2 Pitia matangazo mb,0
165,Tunaomba namba yako DM kwa msaada zaidiKA,1
167,   siku hizi amekuwa kama mzaramo hataki ugali wa dona ila anapenda pizza na kukamuliwa juisi ameu,1
169,Pole sana kwa Familia IPP Media and watanzania wote walioguswa na msiba huu mkubwa Mungu akawe faraja kwenu RIP Reginald Mengi,-1
170,Hakuna mchezo utakaoachwa nyumaNaibu Waziri Shonza,0
172,   Wachezaji wa Taifa Stars wanaondoka mji wa Cairo mkuelekea Alexandria kwenye mchezo wa kirafiki dhidi ya Timu ya Taifa ya,1
173,Habari  kwa sasa mteja unapokea ujumbe mfupi sms unapofanya miamala kwenye akaunti yako Kama hupokei tunaomba utuandikie DM akaunti yako ya benki majina yako na namba ya simu uliyotumia wakati unafungua akaunti ili tuweze kukuuunganisha Karibu,1
174,   Mimi na Mdogo wangu Tutakuwepo kwenye mashindano haya ya Sayansi Teknolojia na Ubunifu ambayo yanafanyika k,0
176,Mafunzo ni nyenzo muhimu katika kuleta ufanisi,1
177,   Nasikiliza hii ngoma Nikusaidiaje  ft Ferooz,1
178,   Wakati Serikali inasema mtoto aliyepata mimba asisome Mama Kama mimi aliwasomesha hivyo hivyo Leo wanawake tunafanya ni,0
179,UEFA Champions League jana Barcelona 31 Dortmund Slavia Praha 13 Inter Milan Lille 02 Ajax Genk 14 RB Salzburg Liverpool 11 Napoli RB Leipzig 22 Benfica,0
180,Waliomua kinyama mtoto wasakwa gt,-1
181,Mwenyekiti wa kijiji cha Kilombero 1 Wilayani Geita amejikuta akisusia kikao kilichoitishwa na Mkuu wa wilaya hiyo ambacho kilikuwa na lengo la kuleta suluhu baada ya wananchi kudaiwa kufunga ofisi ya kijiji kwa kile kilichoelezwa kuwa kuna ubadhirifu wa fedha 12,-1
182,Tunapatikana nchi nzima,1
183,   MubasharaLIVE kutoka kwenye Kongamano la TEHAMA katika ukumbi wa kimataifa wa JK Nyerere Dar es Salaam Tembelea ukurasa wa,0
184,Asante sana kwa ushauri tuanalifanyia kazi swala lakoBertha,1
185, Leo ni Siku ya Wanawake Duniani Waziri ataungana na Wanawake na wakazi mkoani Mwanza kusherekea Siku hiyo katika viwanja vya Kisesa Bujora,1
187,Leo katika kipindi cha tuna angazia  Baadhi ya wananchi wanao pokea na kuwahifadhi,0
189,Tafadhali tuandikie namba yako ya kadi kwa msaada zaidiSalim,0
190,Kwa habari zaidi ingia kwenye link ya WIKI YA MAZIWA TAKWIMU ZA UZALISHAJI NA UNYWAJI WA MAZIWA NCHINI,0
191,TAFITIKukumbatiwa mara kwa mara hupunguza hatari ya kuugua ikilinganishwa na wasiokumbatiwa mara kwa mara Tiba Fasta,1
192,   If you have online services sidhani kama utaitaji kuwa na,0
193,Wananchi wa mtaa wa Nshinde Wilayani Geita wamelalamikia ubovu wa Barabara inayoelekea fadhili bucha na Mwatulole mkoani hapa kuwa kero kubwa kutokana na ubovu ambao umekuwa ukisababisha gari nyingi kukwama na kukosekana kwa baadhi ya huduma za usafiri 12,-1
194,   Mpaka kufika kesho saa mbili asubuhi tunatakiwa kuwa tumechanga milioni 350,0
195,   SISI WATANZANIA TUNAWEZA kujenga uchumi wetu kwa kilimo na viwanda vya kuchakata mazao ya shambani Tusiuze tena mazao,0
196,   blue tick inakuhusu  watakuletea fedheha hawa siku,0
199,   Balozi zetu kama haziwezi ku initiate na Diaspora wanaoishi huko nje za nchi na kuhakikisha wanaiba huko na kuja kujenga,0
200, Habari tafadhali tuandikie unapitia changamoto gani kwa msaada zaidiBahati,0
202,   Leo Ni Usiku Wa Mabingwa Wa Ulaya Tuweke Hela Kwenye Akaunti Zetu Tumtafute Kanjibai Hela Ipo Games 6 Odds 10 Stake,0
203,   NW wa Ujenzi Elias Kwandikwa akagua maendeleo ya mradi wa ujenzi wa Ofisi na Nyumba ya Makazi ya Mkuu wa Wilaya ya,1
204,   Mambo ni kama hivi leo katika kilele cha maadhimisho ya,0
206,   Wala usiwabeuwe watuwala usitembee katika mgongo wa ardhi kwa MaringoHakika Mwenyezi Mungu hampendi kila anae jivuna,0
207,   wewe takataka sijui utakuwa liniSasa linichokufanya uvamie mkutano wa chadema leo ni kitu gani Hujaalikwa u,-1
208,AG Tutaikomboa ndege yetu Canada,1
209,   Sikumbuki vizuri ila nilikuwa na F zote D mahala na C ya English Ila maisha yaliponitandika nikiwa mama wa watoto wawi,0
211,   represent 1044 mpunguzi Dodoma ya izidi kupanda kwenye top20,0
212,   Tukubali tu uhalisia coz wakati mwingine wateja wanakosea na wafanyakazi wanachotakiwa kufanya ni kuwashughulik,0
214,HAKUNA HAJA YA KUWA NA WASIWASI NA SERIKALI YAKO UNAYOIAMINI IPE NAFASI IFANYE KAZI WIZARA YETU HAITAWAANGUSHA,0
215,asante tunaifuatilia pole kwa usumbufu unaopata,0
216,   UFAHAMU ZAIDI MTO AMAZONI NA MAAJABU YA KUANZA KWENDA KIYUME NYUME Ndani ya misitu ya Amazoni kuna,0
217,Habari yako Masoud Hongera kwa kupata tiketi ya kucheza Jackpot bure Tunakutakia kila la kheri katika ubashiri wako PA,0
218,Tumejifunza Mengi Ligi Ya Mabingwa Aussems Akiri Baada Ya Kutua Dar Bofya kusoma zaidi,0
219,Ana anajifanya mzalendo mpigania nchi kumbe yupo dm anaomba utelezi Kweli Twitter people never don what they preach,-1
220,   Siku ya Uzinduzi wa Terminal 3 Mwalimu Nyerere International Airport,0
221,    UJERUMANI KUSHIRIKIANA NA TANZANIA KUZALISHA UMEME VIJIJINI KWA MAENDELEO Y,1
222,   Sweta Sweta Karibu ujipatie sweta za kijanja kwa nafuu kabisa bei ya kitanzania Rahaamchikichi street Size Free si,0
223,Habari Tafadhali fahamu kuwa ofa hii ya Step Up ni endelevu hadi pale itakapotolewa taarifa tofauti kuhusiana na ofa hiiSalim,0
224,Habari tunaomba namba yako DM kwa msaada zaidiKA,1
225,Zoezi la Usajili na utoaji wa Vitambulisho halijasimamishwa ni zoezi endelevu karibu kwenye Ofisi zetu za usajili Wilaya unayoishi tuweze kukuhudumia,1
226,   Nimerejea salama kutoka DodomaNamshukuru Mungu kwa ujasiri alionipa kwenda mbele ya Kamati ya maadili na nidhamu na,1
227,   Baya lisilonidhuru ni jema lisilo na faida,0
228,   Rais mstaafu Benjamin Mkapa akimshukuru na kutambua mchango wa msanifu designer wa kitab,1
229,Habari Ochu Samahani kwa makosa ya kimaandishi yaliyotokea Tumefanyia marekebisho tayari na utaweza kuona kwa usahihi Asante SS,0
230,   Wanafunzi wa shule za Sekondari Simiyu na Biashara wakipata elimu ya umuhimu wa matumizi wa taarifa za hali ya hewa Kwa,1
231,   Air Tanzania inawatangazia mabadiliko ya Ratiba ya mapokezi ya kutoka US badala ya 972018 J3 mapokezi yataf,0
232,   Wanawake viongozi wa Taasisi mbalimbali wamekutana kujadiliana mambo mbali mbali kuhusu wanawake viongozi na juhudi gani zin,1
233,   Tuko kwenye hatari ya kupata ebola kutokana na muingiliano mkubwa uliopo kati ya nchi ya Congo na nchi yetu ya Tanzan,-1
234,   Kwa ushahidi wa Quran kk Surah AlInsan inasomeka kuwa ulipita muda mrefu Mwanadamu hakuwepo na Mwenyezi Mungu alipom,1
235,s Day Msanii wa muziki nchini Tanzania ameendelea kuugulia maumivu ya kutokuwepo kwa Mzazi mwenzake Mchekeshaji Mrembo Boss Martha aliyefariki Septemba 12 2019,-1
236,NALE ni dawa ya mimea inayotibu changamoto ya vidonda vya tumbo kwa kuponyesha michubuko kwenye kuta za tumbo na kuua bacteria wanaochagiza tatizo la vidonda vya tumbo Dawa haina madhara kwa mtumiaji Kwa Msaada zaidi Piga 0654 982 582 au WhatsApp link,0
237,Ujumbe huo unamaanisha haukujitoa katika huduma kwenye ile simu ya kwanza hivyo fika tawini uweze kusaidiwa,0
238,   Anatutishia UKAWA umoja isiokuwepo tena Si awataje ndio ajue uamuzi wake ni inconsequential kwahiyo anaona sawa kucheza,0
239,   2 Third parties kama kampuni za michezo ya kubashiri zikihitaji taarifa muhimu ziwafuate viongozi inbox Hatuna formality,0
240,   Niwaombe pia Watanzania tujitahidi kutumia njia nyingine za asili kupambana na corona Wizara ya Afya mlisisitize hili zai,0
241,   Najisikia furaha kuona tunapata wiki ya Ubunifu Dodoma wale ndugu zangu wa Kuna maonesho na semin,1
242,TB namba Basi kama haujapewa tunaomba namba yako ya simu DM,0
243,amekuwa akinilisha akiniogesha na kuniangalia kwa ukaribu zaidi na kwa kila hali Ameacha kazi zake zote na kubadilisha mfumo wa maisha yake kwa ajili ya kunilea na kuniangalia kwa ukaribu zaidi,1
244,Kwa miaka zaidi ya kumi sasa nimekuwa mtu wa kulala kitandani usiku na mchana lakini pamoja na yote haya hakuna hata siku moja ambayo niliwahi kujisikia mpweke na sababu kuu ni kwamba nimezungukwa na familia na rafiki wanaonionyesha upendo wa dhati,1
246,   Apps 10 zilizopakuliwa kwa wingi siku ya mwaka mpya Januari 1 2020 kwa watumiaji wa Android 1 WhatsApp 2,0
249,   Oya wazee wa kazi na mwingine yeyote mnaweza kutupatia msaada juu ya speculation pale DSE Bina,0
250,Imekuwa too muchwatu wanashindwa hata kusheherekea maisha yao kwa amanimtu unampost mke wake kumpongeza wameoana we unakuja kutukana kwenye comments watu hata huwajui,-1
252,Mimi nilikuwa kipenz cha mabinti toka udogonindo maana hawajawahi kunitia uchizi nishazoea nipo na Coco wangu sahivi,0
253,   Nitaongoza idara ya Habari ya CHADEMA MKOA wa MARA kama AFISA wa HABARI VIKAO vya tarehe 19022020 vya baraza la uongozi n,0
254,   Kama tukiweza kuwekeza kwa mtoto wa kike Mfano kama tutapambana na ndoa za utotoni basi kwa miaka 15 tunaweza kuingiz,0
255,Sema roman wanapenda raha sanakuna sistakavaa na zile nguo zao tuko nae hapa airport kaagiza ki light chake na anakunywa bila hata wasi,0
256,Karibu sana Nyumbani,1
258,PICHAWaziri Mwakyembe atembelea na kuona kasi ya ujenzi wa Ofisi za Wizara yake Ihumwa Jijini Dodoma  Wizara ya Habari,1
259,Tunapenda kukufahamisha kwamba huduma zetu hazibagui aina ya watu na wala hatuna chama kama ibara zetu za utendaji zinavyotuelekezaAhsante kwa kuwasilina nasi uwe na wakati mwemank,0
260,Habari Ahsante kwa kuwasiliana nasi Ndugu mteja ili kuendelea kutoa huduma bora zaidi tumepitia upya gharama zetu za M pesa na kufanya marekebisho,1
261,Habari Kaka wa Taifa tunafanya hivyo ili kuupdate taarifa za mteja ikiwepo kuwa na picha yake halisi ya wakati husika gtBM,1
262,   Hongereni Sana Wizara ya Afya Waziri Naibu Waziri Katibu Mkuu Dkt,1
265,Usiwachanganye watu ambao wako karibu na wewe kila wakati kwa watu ambao watakuwa karibu nawe kila wakati,0
267,   MWANAMKE tafadhali usiruhusu mwaka upite bila kupata vipimo hivi vipimo vya saratani ya shingo ya uzazi vipimo vya,0
268,   Kipindi nimemaliza elimu yangu ya shule ya msingi sikuweza kupata matokeo mazuri yakunifanya niende kidato cha kwanza H,-1
270,   Huko Makao Makuu Dodoma NBS Mtakwimu Mkuu wa Zanzibar   wamezindua chapisho muhimu kuhusu takwimu,0
271,Busara na hekima inatakiwa kutumika,1
273,   Kila hatua ni muhimu kwa  Leo kwa mfano Tembea kwa miguu Panda basi Endesha baiskeli Usitumi,0
275,   Mtag jamaa yako ambaye unajua michongo ya kutumia Condoms sio yake mwambie litakupata jambo,0
276,Traveler habari Tunapenda kukufahamisha bado unaweza kufurahia ofa mbalimbali ya vifurushi kwa kupitia saizi yako na ukaweza kupata vifurushi kulingana na matumizi yako bonyeza 14700 au 14800 kuweza kujiunganisha,0
278,RCD Espanyol de Barcelona au Wolverhampton Wanderers FC watachezea nyavu Magoli mangapi leo otea Bet SASA ushinde,0
279,TAARIFA MUHIMU KWA WATANZANIA,0
280,Mama mzazi wa mwandishi wa Habari za uchunguzi anayeshikiliwa na Dola Erick Kabendera Verdiana Mjwahuzi amefariki dunia Desemba 312019 Taarifa za kufariki kwake zimepatikana alfajiri ya leo Januari Mosi,-1
281,Kila hatua dua Mdogo mdogo Wananchi wanaanza kuelewa umuhimu wa chanjo ya Uviko 19,1
